Version: 2, OpenDRIVE: ./ALKS_Road_straight.xodr, 3DModel: 
time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot
0.650, 1, CutInVehicle, 77.778, -11.500, 0.000, 0.000, 0.000, 0.000, 11.111, 0.000, 1.785
0.675, 0, Ego, 16.250, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.727
0.675, 1, CutInVehicle, 78.056, -11.500, 0.000, 0.000, 0.000, 0.000, 11.111, 0.000, 2.579
0.700, 0, Ego, 16.667, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.917
0.700, 1, CutInVehicle, 78.333, -11.500, 0.000, 0.000, 0.000, 0.000, 11.111, 0.000, 3.373
0.725, 0, Ego, 17.083, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 3.108
0.725, 1, CutInVehicle, 78.611, -11.500, 0.000, 0.000, 0.000, 0.000, 11.111, 0.000, 4.166
0.750, 0, Ego, 17.500, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.298
0.750, 1, CutInVehicle, 78.889, -11.500, 0.000, 0.000, 0.000, 0.000, 11.111, 0.000, 4.960
0.775, 0, Ego, 17.917, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 5.489
0.775, 1, CutInVehicle, 79.167, -11.500, 0.000, 0.000, 0.000, 0.000, 11.111, 0.000, 5.754
0.800, 0, Ego, 18.333, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.396
0.800, 1, CutInVehicle, 79.444, -11.500, 0.000, 0.000, 0.000, 0.000, 11.111, 0.000, 0.264
0.825, 0, Ego, 18.750, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.587
0.825, 1, CutInVehicle, 79.722, -11.500, 0.000, 0.000, 0.000, 0.000, 11.111, 0.000, 1.058
0.850, 0, Ego, 19.167, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.777
0.850, 1, CutInVehicle, 80.000, -11.500, 0.000, 0.000, 0.000, 0.000, 11.111, 0.000, 1.851
0.875, 0, Ego, 19.583, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 3.968
0.875, 1, CutInVehicle, 80.278, -11.500, 0.000, 0.000, 0.000, 0.000, 11.111, 0.000, 2.645
0.900, 0, Ego, 20.000, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 5.158
0.900, 1, CutInVehicle, 80.556, -11.500, 0.000, 0.000, 0.000, 0.000, 11.111, 0.000, 3.439
0.925, 0, Ego, 20.417, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.065
0.925, 1, CutInVehicle, 80.833, -11.500, 0.000, 0.000, 0.000, 0.000, 11.111, 0.000, 4.232
0.950, 0, Ego, 20.833, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.256
0.950, 1, CutInVehicle, 81.111, -11.500, 0.000, 0.000, 0.000, 0.000, 11.111, 0.000, 5.026
0.975, 0, Ego, 21.250, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.446
0.975, 1, CutInVehicle, 81.389, -11.500, 0.000, 0.000, 0.000, 0.000, 11.111, 0.000, 5.820
1.000, 0, Ego, 21.667, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 3.637
1.000, 1, CutInVehicle, 81.667, -11.500, 0.000, 0.000, 0.000, 0.000, 11.111, 0.000, 0.330
1.025, 0, Ego, 22.083, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.827
1.025, 1, CutInVehicle, 81.944, -11.500, 0.000, 0.000, 0.000, 0.000, 11.111, 0.000, 1.124
1.050, 0, Ego, 22.500, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 6.018
1.050, 1, CutInVehicle, 82.222, -11.500, 0.000, 0.000, 0.000, 0.000, 11.111, 0.000, 1.917
1.075, 0, Ego, 22.917, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.925
1.075, 1, CutInVehicle, 82.500, -11.500, 0.000, 0.000, 0.000, 0.000, 11.111, 0.000, 2.711
1.100, 0, Ego, 23.333, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.115
1.100, 1, CutInVehicle, 82.778, -11.500, 0.000, 0.000, 0.000, 0.000, 11.111, 0.000, 3.505
1.125, 0, Ego, 23.750, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 3.306
1.125, 1, CutInVehicle, 83.056, -11.500, 0.000, 0.000, 0.000, 0.000, 11.111, 0.000, 4.298
1.150, 0, Ego, 24.167, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.496
1.150, 1, CutInVehicle, 83.333, -11.500, 0.000, 0.000, 0.000, 0.000, 11.111, 0.000, 5.092
1.175, 0, Ego, 24.583, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 5.687
1.175, 1, CutInVehicle, 83.611, -11.500, 0.000, 0.000, 0.000, 0.000, 11.111, 0.000, 5.886
1.200, 0, Ego, 25.000, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.594
1.200, 1, CutInVehicle, 83.889, -11.500, 0.000, 0.000, 0.000, 0.000, 11.111, 0.000, 0.396
1.225, 0, Ego, 25.417, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.785
1.225, 1, CutInVehicle, 84.167, -11.500, 0.000, 0.000, 0.000, 0.000, 11.111, 0.000, 1.190
1.250, 0, Ego, 25.833, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.975
1.250, 1, CutInVehicle, 84.444, -11.500, 0.000, 0.000, 0.000, 0.000, 11.111, 0.000, 1.983
1.275, 0, Ego, 26.250, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.166
1.275, 1, CutInVehicle, 84.722, -11.500, 0.000, 0.000, 0.000, 0.000, 11.111, 0.000, 2.777
1.300, 0, Ego, 26.667, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 5.356
