Version: 2, OpenDRIVE: ./ALKS_Road_straight.xodr, 3DModel: 
time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot
0.650, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.675, 0, Ego, 16.250, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.727
0.675, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.700, 0, Ego, 16.667, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.917
0.700, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.725, 0, Ego, 17.083, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 3.108
0.725, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.750, 0, Ego, 17.500, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.298
0.750, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.775, 0, Ego, 17.917, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 5.489
0.775, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.800, 0, Ego, 18.333, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.396
0.800, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.825, 0, Ego, 18.750, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.587
0.825, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.850, 0, Ego, 19.167, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.777
0.850, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.875, 0, Ego, 19.583, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 3.968
0.875, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.900, 0, Ego, 20.000, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 5.158
0.900, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.925, 0, Ego, 20.417, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.065
0.925, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.950, 0, Ego, 20.833, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.256
0.950, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.975, 0, Ego, 21.250, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.446
0.975, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.000, 0, Ego, 21.667, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 3.637
1.000, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.025, 0, Ego, 22.083, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.827
1.025, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.050, 0, Ego, 22.500, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 6.018
1.050, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
1.075, 0, Ego, 22.917, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.925
