Version: 2, OpenDRIVE: ALKS_CutoutFullyBocking.xodr, 3DModel: 
time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot
0.650, 0, CutInVehicle, 57.195, -8.875, 0.000, 0.000, 0.000, 0.000, 11.194, 0.000, 1.707
0.675, 1, Ego, 11.137, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 0.406
0.675, 0, CutInVehicle, 57.475, -8.875, 0.000, 0.000, 0.000, 0.000, 11.209, 0.000, 2.507
0.700, 1, Ego, 11.550, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 1.584
0.700, 0, CutInVehicle, 57.756, -8.875, 0.000, 0.000, 0.000, 0.000, 11.224, 0.000, 3.309
0.725, 1, Ego, 11.962, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 2.763
0.725, 0, CutInVehicle, 58.037, -8.875, 0.000, 0.000, 0.000, 0.000, 11.240, 0.000, 4.112
0.750, 1, Ego, 12.375, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 3.941
0.750, 0, CutInVehicle, 58.318, -8.875, 0.000, 0.000, 0.000, 0.000, 11.257, 0.000, 4.916
0.775, 1, Ego, 12.788, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 5.120
0.775, 0, CutInVehicle, 58.600, -8.875, 0.000, 0.000, 0.000, 0.000, 11.274, 0.000, 5.721
0.800, 1, Ego, 13.200, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 0.015
0.800, 0, CutInVehicle, 58.882, -8.875, 0.000, 0.000, 0.000, 0.000, 11.291, 0.000, 0.245
0.825, 1, Ego, 13.613, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 1.194
0.825, 0, CutInVehicle, 59.165, -8.875, 0.000, 0.000, 0.000, 0.000, 11.309, 0.000, 1.052
0.850, 1, Ego, 14.025, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 2.372
0.850, 0, CutInVehicle, 59.448, -8.875, 0.000, 0.000, 0.000, 0.000, 11.328, 0.000, 1.862
0.875, 1, Ego, 14.438, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 3.551
0.875, 0, CutInVehicle, 59.732, -8.875, 0.000, 0.000, 0.000, 0.000, 11.347, 0.000, 2.672
0.900, 1, Ego, 14.850, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 4.729
0.900, 0, CutInVehicle, 60.016, -8.875, 0.000, 0.000, 0.000, 0.000, 11.366, 0.000, 3.484
0.925, 1, Ego, 15.262, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 5.908
0.925, 0, CutInVehicle, 60.300, -8.875, 0.000, 0.000, 0.000, 0.000, 11.386, 0.000, 4.297
0.950, 1, Ego, 15.675, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 0.803
0.950, 0, CutInVehicle, 60.586, -8.875, 0.000, 0.000, 0.000, 0.000, 11.406, 0.000, 5.112
0.975, 1, Ego, 16.087, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 1.982
0.975, 0, CutInVehicle, 60.871, -8.875, 0.000, 0.000, 0.000, 0.000, 11.427, 0.000, 5.928
1.000, 1, Ego, 16.500, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 3.161
1.000, 0, CutInVehicle, 61.158, -8.875, 0.000, 0.000, 0.000, 0.000, 11.449, 0.000, 0.463
1.025, 1, Ego, 16.913, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 4.339
1.025, 0, CutInVehicle, 61.444, -8.875, 0.000, 0.000, 0.000, 0.000, 11.470, 0.000, 1.282
1.050, 1, Ego, 17.325, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 5.518
1.050, 0, CutInVehicle, 61.732, -8.875, 0.000, 0.000, 0.000, 0.000, 11.493, 0.000, 2.103
1.075, 1, Ego, 17.737, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 0.413
1.075, 0, CutInVehicle, 62.019, -8.875, 0.000, 0.000, 0.000, 0.000, 11.515, 0.000, 2.925
1.100, 1, Ego, 18.150, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 1.592
1.100, 0, CutInVehicle, 62.308, -8.875, 0.000, 0.000, 0.000, 0.000, 11.538, 0.000, 3.750
1.125, 1, Ego, 18.562, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 2.770
1.125, 0, CutInVehicle, 62.597, -8.875, 0.000, 0.000, 0.000, 0.000, 11.562, 0.000, 4.576
1.150, 1, Ego, 18.975, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 3.949
1.150, 0, CutInVehicle, 62.887, -8.875, 0.000, 0.000, 0.000, 0.000, 11.586, 0.000, 5.403
1.175, 1, Ego, 19.388, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 5.127
1.175, 0, CutInVehicle, 63.177, -8.875, 0.000, 0.000, 0.000, 0.000, 11.610, 0.000, 6.232
1.200, 1, Ego, 19.800, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 0.023
1.200, 0, CutInVehicle, 63.468, -8.875, 0.000, 0.000, 0.000, 0.000, 11.635, 0.000, 0.780
1.225, 1, Ego, 20.212, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 1.201
1.225, 0, CutInVehicle, 63.759, -8.875, 0.000, 0.000, 0.000, 0.000, 11.660, 0.000, 1.613
1.250, 1, Ego, 20.625, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 2.380
1.250, 0, CutInVehicle, 64.051, -8.875, 0.000, 0.000, 0.000, 0.000, 11.686, 0.000, 2.448
1.275, 1, Ego, 21.038, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 3.558
1.275, 0, CutInVehicle, 64.344, -8.875, 0.000, 0.000, 0.000, 0.000, 11.712, 0.000, 3.284
