esmini GIT REV: N/A
esmini GIT TAG: N/A
esmini GIT BRANCH: N/A
esmini BUILD VERSION: N/A - client build
Scenario File Name: ..\resources\myresources\ALKS_CutoutFullyBocking/./ALKS_CutoutFullyBocking.xosc
Number of Vehicles: 2
Index [-] , TimeStamp [s] , #1 Entitity_Name [-] , #1 Entitity_ID [-] , #1 Current_Speed [m/s] , #1 Wheel_Angle [deg] , #1 Wheel_Rotation [-] , #1 bb_x [m] , #1 bb_y [m] , #1 bb_z [m] , #1 bb_length [m] , #1 bb_width [m] , #1 bb_height [m] , #1 World_Position_X [m] , #1 World_Position_Y [m] , #1 World_Position_Z [m] , #1 Vel_X [m/s] , #1 Vel_Y [m/s] , #1 Vel_Z [m/s] , #1 Acc_X [m/s2] , #1 Acc_Y [m/s2] , #1 Acc_Z [m/s2] , #1 Distance_Travelled_Along_Road_Segment [m] , #1 Lateral_Distance_Lanem [m] , #1 lane_id, #1 lane_offset[m] , #1 World_Heading_Angle [rad] , #1 Heading_Angle_Rate [rad/s] , #1 Relative_Heading_Angle [rad] , #1 Relative_Heading_Angle_Drive_Direction [rad] , #1 World_Pitch_Angle [rad] , #1 Road_Curvature [1/m] , #1 collision_ids , #2 Entitity_Name [-] , #2 Entitity_ID [-] , #2 Current_Speed [m/s] , #2 Wheel_Angle [deg] , #2 Wheel_Rotation [-] , #2 bb_x [m] , #2 bb_y [m] , #2 bb_z [m] , #2 bb_length [m] , #2 bb_width [m] , #2 bb_height [m] , #2 World_Position_X [m] , #2 World_Position_Y [m] , #2 World_Position_Z [m] , #2 Vel_X [m/s] , #2 Vel_Y [m/s] , #2 Vel_Z [m/s] , #2 Acc_X [m/s2] , #2 Acc_Y [m/s2] , #2 Acc_Z [m/s2] , #2 Distance_Travelled_Along_Road_Segment [m] , #2 Lateral_Distance_Lanem [m] , #2 lane_id, #2 lane_offset [m] , #2 World_Heading_Angle [rad] , #2 Heading_Angle_Rate [rad/s] , #2 Relative_Heading_Angle [rad] , #2 Relative_Heading_Angle_Drive_Direction [rad] , #2 World_Pitch_Angle [rad] , #2 Road_Curvature [1/m] , #2 collision_ids , 
Ego, 1, 16.500000, 0.000000, 5.502529, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 4.125000, -5.325000, 0.000000, 16.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.125000, -5.325000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 10, 0.250000, CutInVehicle, 0, 11.029081, 0.000000, 1.581961, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 52.752801, -8.875000, 0.000000, 11.029081, 0.000000, 0.000000, 0.220580, 0.000000, 0.000000, 52.752801, -8.875000, -3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
Ego, 1, 16.500000, 0.000000, 0.397915, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 4.537500, -5.325000, 0.000000, 16.500000, 0.000000, 0.000000, -0.000000, 0.000000, 0.000000, 4.537500, -5.325000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 11, 0.275000, CutInVehicle, 0, 11.035170, 0.000000, 2.370188, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 53.028681, -8.875000, 0.000000, 11.035170, 0.000000, 0.000000, 0.243562, 0.000000, 0.000000, 53.028681, -8.875000, -3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
Ego, 1, 16.500000, 0.000000, 1.576487, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 4.950000, -5.325000, 0.000000, 16.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.950000, -5.325000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 12, 0.300000, CutInVehicle, 0, 11.041832, 0.000000, 3.158890, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 53.304726, -8.875000, 0.000000, 11.041832, 0.000000, 0.000000, 0.266473, 0.000000, 0.000000, 53.304726, -8.875000, -3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
Ego, 1, 16.500000, 0.000000, 2.755058, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 5.362500, -5.325000, 0.000000, 16.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.362500, -5.325000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 13, 0.325000, CutInVehicle, 0, 11.049064, 0.000000, 3.948109, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 53.580953, -8.875000, 0.000000, 11.049064, 0.000000, 0.000000, 0.289306, 0.000000, 0.000000, 53.580953, -8.875000, -3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
Ego, 1, 16.500000, 0.000000, 3.933629, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 5.775000, -5.325000, 0.000000, 16.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.775000, -5.325000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 14, 0.350000, CutInVehicle, 0, 11.056866, 0.000000, 4.737885, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 53.857375, -8.875000, 0.000000, 11.056866, 0.000000, 0.000000, 0.312054, 0.000000, 0.000000, 53.857375, -8.875000, -3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
Ego, 1, 16.500000, 0.000000, 5.112201, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 6.187500, -5.325000, 0.000000, 16.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 6.187500, -5.325000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 15, 0.375000, CutInVehicle, 0, 11.065234, 0.000000, 5.528259, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 54.134006, -8.875000, 0.000000, 11.065234, 0.000000, 0.000000, 0.334712, 0.000000, 0.000000, 54.134006, -8.875000, -3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
Ego, 1, 16.500000, 0.000000, 0.007587, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 6.600000, -5.325000, 0.000000, 16.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 6.600000, -5.325000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 16, 0.400000, CutInVehicle, 0, 11.074165, 0.000000, 0.036086, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 54.410860, -8.875000, 0.000000, 11.074165, 0.000000, 0.000000, 0.357272, 0.000000, 0.000000, 54.410860, -8.875000, -3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
Ego, 1, 16.500000, 0.000000, 1.186158, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 7.012500, -5.325000, 0.000000, 16.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 7.012500, -5.325000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 17, 0.425000, CutInVehicle, 0, 11.083659, 0.000000, 0.827775, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 54.687951, -8.875000, 0.000000, 11.083659, 0.000000, 0.000000, 0.379728, 0.000000, 0.000000, 54.687951, -8.875000, -3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
Ego, 1, 16.500000, 0.000000, 2.364730, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 7.425000, -5.325000, 0.000000, 16.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 7.425000, -5.325000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 18, 0.450000, CutInVehicle, 0, 11.093710, 0.000000, 1.620183, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 54.965294, -8.875000, 0.000000, 11.093710, 0.000000, 0.000000, 0.402073, 0.000000, 0.000000, 54.965294, -8.875000, -3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
Ego, 1, 16.500000, 0.000000, 3.543301, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 7.837500, -5.325000, 0.000000, 16.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 7.837500, -5.325000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 19, 0.475000, CutInVehicle, 0, 11.104318, 0.000000, 2.413349, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 55.242902, -8.875000, 0.000000, 11.104318, 0.000000, 0.000000, 0.424302, 0.000000, 0.000000, 55.242902, -8.875000, -3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
