esmini GIT REV: N/A
esmini GIT TAG: N/A
esmini GIT BRANCH: N/A
esmini BUILD VERSION: N/A - client build
Scenario File Name: ./resources/myresources/./FourWaySignal.xosc
Number of Vehicles: 1
Index [-] , TimeStamp [s] , #1 Entitity_Name [-] , #1 Entitity_ID [-] , #1 Current_Speed [m/s] , #1 Wheel_Angle [deg] , #1 Wheel_Rotation [-] , #1 bb_x [m] , #1 bb_y [m] , #1 bb_z [m] , #1 bb_length [m] , #1 bb_width [m] , #1 bb_height [m] , #1 World_Position_X [m] , #1 World_Position_Y [m] , #1 World_Position_Z [m] , #1 Vel_X [m/s] , #1 Vel_Y [m/s] , #1 Vel_Z [m/s] , #1 Acc_X [m/s2] , #1 Acc_Y [m/s2] , #1 Acc_Z [m/s2] , #1 Distance_Travelled_Along_Road_Segment [m] , #1 Lateral_Distance_Lanem [m] , #1 lane_id, #1 lane_offset[m] , #1 World_Heading_Angle [rad] , #1 Heading_Angle_Rate [rad/s] , #1 Relative_Heading_Angle [rad] , #1 Relative_Heading_Angle_Drive_Direction [rad] , #1 World_Pitch_Angle [rad] , #1 Road_Curvature [1/m] , #1 collision_ids , 
12, 0.600000, Sedan, 0, 17.881599, -0.034180, 5.521429, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -68.155875, -6.607717, 0.000000, 15.989732, 8.004728, 0.000000, 1.521046, -3.007591, 0.000000, 49.278960, -2.876876, -1, -1.126876, 0.457473, -0.272072, 0.287258, 0.287258, 0.000000, 0.000000, , 
13, 0.650000, Sedan, 0, 17.881599, -0.059180, 1.792758, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -67.350489, -6.219524, 0.000000, 16.107716, 7.763856, 0.000000, 2.359697, -4.817430, 0.000000, 50.139399, -2.630721, -1, -0.880721, 0.440458, -0.340295, 0.270243, 0.270243, 0.000000, 0.000000, , 
14, 0.700000, Sedan, 0, 17.881599, -0.084180, 4.347272, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -66.537380, -5.847796, 0.000000, 16.262195, 7.434572, 0.000000, 3.089574, -6.585693, 0.000000, 51.008973, -2.402101, -1, -0.652101, 0.414733, -0.514494, 0.244518, 0.244518, 0.000000, 0.000000, , 
15, 0.750000, Sedan, 0, 17.881599, -0.109180, 0.618601, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -65.713630, -5.500313, 0.000000, 16.474987, 6.949659, 0.000000, 4.255843, -9.698256, 0.000000, 51.884067, -2.199178, -1, -0.449178, 0.382803, -0.638605, 0.212588, 0.212588, 0.000000, 0.000000, , 
16, 0.800000, Sedan, 0, 17.881599, -0.134180, 3.173115, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -64.878176, -5.182067, 0.000000, 16.709082, 6.364909, 0.000000, 4.681896, -11.695001, 0.000000, 52.765074, -2.027053, -1, -0.277053, 0.343843, -0.779194, 0.173628, 0.173628, 0.000000, 0.000000, , 
17, 0.850000, Sedan, 0, 17.881599, -0.159180, 5.727630, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -64.030089, -4.899268, 0.000000, 16.961743, 5.655997, 0.000000, 5.053208, -14.178240, 0.000000, 53.652106, -1.892001, -1, -0.142001, 0.297803, -0.920818, 0.127749, 0.127749, 0.000000, -0.004035, , 
18, 0.900000, Sedan, 0, 17.881599, -0.184180, 1.998959, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -63.168905, -4.659393, 0.000000, 17.223673, 4.797493, 0.000000, 5.238603, -17.170080, 0.000000, 54.544668, -1.799784, -1, -0.049784, 0.244665, -1.062756, 0.078213, 0.078213, 0.000000, -0.004035, , 
19, 0.950000, Sedan, 0, 17.881599, -0.209180, 4.553473, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -62.295609, -4.468440, 0.000000, 17.465936, 3.819057, 0.000000, 4.845271, -19.568721, 0.000000, 55.441133, -1.754593, -1, -0.004593, 0.184976, -1.193773, 0.022141, 0.022141, 0.000000, -0.004035, , 
20, 1.000000, Sedan, 0, 17.881599, -0.184180, 0.824802, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -61.413590, -4.322333, 0.000000, 17.640378, 2.922136, 0.000000, 3.488827, -17.938422, 0.000000, 56.339096, -1.751826, -1, -0.001826, 0.157170, -0.556129, 6.281142, -0.002043, 0.000000, -0.004035, , 
21, 1.050000, Sedan, 0, 17.881599, -0.159180, 3.379316, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -60.530563, -4.182182, 0.000000, 17.660538, 2.803034, 0.000000, 0.403205, -2.382023, 0.000000, 57.237114, -1.751850, -1, -0.001850, 0.154716, -0.049077, 6.282312, -0.000874, 0.000000, -0.004035, , 
22, 1.100000, Sedan, 0, 17.881599, -0.134180, 5.933830, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -59.647167, -4.044422, 0.000000, 17.667921, 2.755197, 0.000000, 0.147667, -0.956749, 0.000000, 58.135119, -1.751047, -1, -0.001047, 0.151901, -0.056296, 6.283120, -0.000065, 0.000000, -0.004035, , 
23, 1.150000, Sedan, 0, 17.881599, -0.109180, 2.205159, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -58.762975, -3.911817, 0.000000, 17.683833, 2.652102, 0.000000, 0.318238, -2.061894, 0.000000, 59.033133, -1.752211, -1, -0.002211, 0.148308, -0.071853, 6.283150, -0.000035, 0.000000, -0.004035, , 
24, 1.200000, Sedan, 0, 17.881599, -0.084180, 4.759673, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -57.878783, -3.779212, 0.000000, 17.683833, 2.652102, 0.000000, 0.000000, -0.000000, 0.000000, 59.931969, -1.750128, -1, -0.000128, 0.144716, -0.071853, 6.283184, -0.000001, 0.000000, -0.004035, , 
25, 1.250000, Sedan, 0, 17.881599, -0.059180, 1.031002, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -56.993529, -3.653906, 0.000000, 17.705090, 2.506114, 0.000000, 0.425145, -2.919755, 0.000000, 60.832408, -1.752173, -1, -0.002173, 0.142295, -0.048406, 0.001211, 0.001211, 0.000000, -0.004035, , 
26, 1.300000, Sedan, 0, 17.881599, -0.034180, 3.585516, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -56.108237, -3.528857, 0.000000, 17.705838, 2.500977, 0.000000, 0.014962, -0.102757, 0.000000, 61.732851, -1.751229, -1, -0.001229, 0.139916, -0.047581, 0.002465, 0.002465, 0.000000, -0.004035, , 
27, 1.350000, Sedan, 0, 17.881599, -0.030165, 6.140030, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -55.222308, -3.408461, 0.000000, 17.718579, 2.407913, 0.000000, 0.254805, -1.861267, 0.000000, 62.633287, -1.751734, -1, -0.001734, 0.131331, -0.171696, 6.280698, -0.002487, 0.000000, -0.004035, , 
28, 1.400000, Sedan, 0, 17.881599, -0.008603, 2.411359, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -54.335980, -3.290978, 0.000000, 17.726552, 2.349669, 0.000000, 0.159472, -1.164894, 0.000000, 63.533731, -1.751930, -1, -0.001930, 0.128883, -0.048966, 6.281883, -0.001302, 0.000000, -0.004035, , 
29, 1.450000, Sedan, 0, 17.881599, -0.009532, 4.965874, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -53.449396, -3.175495, 0.000000, 17.731682, 2.309661, 0.000000, 0.102587, -0.800159, 0.000000, 64.434168, -1.750895, -1, -0.000895, 0.126170, -0.054255, 6.282803, -0.000382, 0.000000, -0.004035, , 
30, 1.500000, Sedan, 0, 17.881599, -0.012121, 1.237202, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -52.562098, -3.065585, 0.000000, 17.745973, 2.198189, 0.000000, 0.285831, -2.229430, 0.000000, 65.334610, -1.752231, -1, -0.002231, 0.122721, -0.068992, 6.282986, -0.000199, 0.000000, -0.004035, , 
31, 1.550000, Sedan, 0, 17.881599, -0.012121, 3.791717, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -51.674799, -2.955676, 0.000000, 17.745973, 2.198189, 0.000000, 0.000000, 0.000000, 0.000000, 66.235051, -1.750319, -1, -0.000319, 0.119271, -0.068992, 6.283169, -0.000016, 0.000000, -0.004035, , 
32, 1.600000, Sedan, 0, 17.881599, -0.012709, 0.063046, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -50.786673, -2.852690, 0.000000, 17.762526, 2.059716, 0.000000, 0.331051, -2.769459, 0.000000, 67.135489, -1.752132, -1, -0.002132, 0.115654, -0.072339, 6.283185, -0.000000, 0.000000, -0.004035, , 
33, 1.650000, Sedan, 0, 17.881599, -0.012765, 2.617560, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -49.898468, -2.750363, 0.000000, 17.764100, 2.046549, 0.000000, 0.031478, -0.263336, 0.000000, 68.035933, -1.751360, -1, -0.001360, 0.112021, -0.072657, 0.000000, 0.000000, 0.000000, -0.004035, , 
34, 1.700000, Sedan, 0, 17.881599, -0.012765, 5.172074, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -49.009790, -2.652302, 0.000000, 17.773562, 1.961209, 0.000000, 0.189253, -1.706796, 0.000000, 68.936368, -1.751633, -1, -0.001633, 0.108389, -0.072657, 6.283185, -0.000000, 0.000000, -0.004035, , 
35, 1.750000, Sedan, 0, 17.881599, -0.012765, 1.443403, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -48.120743, -2.557564, 0.000000, 17.780930, 1.894760, 0.000000, 0.147361, -1.328985, 0.000000, 69.836812, -1.752001, -1, -0.002001, 0.104756, -0.072657, 0.000000, 0.000000, 0.000000, -0.004035, , 
36, 1.800000, Sedan, 0, 17.881599, -0.012765, 3.997917, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -47.231533, -2.464431, 0.000000, 17.784212, 1.862661, 0.000000, 0.065640, -0.641991, 0.000000, 70.737249, -1.750734, -1, -0.000734, 0.101123, -0.072657, 6.283185, -0.000000, 0.000000, -0.004035, , 
37, 1.850000, Sedan, 0, 17.881599, -0.012765, 0.269246, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -46.341709, -2.377290, 0.000000, 17.796464, 1.742833, 0.000000, 0.245034, -2.396554, 0.000000, 71.637691, -1.752242, -1, -0.002242, 0.097490, -0.072657, 0.000000, 0.000000, 0.000000, -0.004035, , 
