Version: 2, OpenDRIVE: ./FourWaySignal.xodr, 3DModel: ./FourWaySignal.osgb
time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot
2.350, 0, Sedan, -37.430, -1.668, 0.000, 0.061, 0.000, 0.000, 17.882, -0.013, 0.682
2.400, 0, Sedan, -36.537, -1.615, 0.000, 0.058, 0.000, 0.000, 17.882, -0.012, 3.236
2.450, 0, Sedan, -35.644, -1.566, 0.000, 0.055, 0.000, 0.000, 17.882, -0.010, 5.791
2.500, 0, Sedan, -34.752, -1.518, 0.000, 0.052, 0.000, 0.000, 17.882, -0.011, 2.062
2.550, 0, Sedan, -33.859, -1.475, 0.000, 0.056, 0.000, 0.000, 17.882, 0.014, 4.617
2.600, 0, Sedan, -32.968, -1.401, 0.000, 0.110, 0.000, 0.000, 17.882, 0.039, 0.888
2.650, 0, Sedan, -32.082, -1.281, 0.000, 0.159, 0.000, 0.000, 17.882, 0.064, 3.442
2.700, 0, Sedan, -31.202, -1.120, 0.000, 0.201, 0.000, 0.000, 17.882, 0.089, 5.997
2.750, 0, Sedan, -30.330, -0.926, 0.000, 0.236, 0.000, 0.000, 17.882, 0.114, 2.268
2.800, 0, Sedan, -29.463, -0.705, 0.000, 0.264, 0.000, 0.000, 17.882, 0.101, 4.823
2.850, 0, Sedan, -28.603, -0.461, 0.000, 0.286, 0.000, 0.000, 17.882, 0.076, 1.094
2.900, 0, Sedan, -27.748, -0.201, 0.000, 0.302, 0.000, 0.000, 17.882, 0.055, 3.649
2.950, 0, Sedan, -26.896, 0.070, 0.000, 0.312, 0.000, 0.000, 17.882, 0.034, 6.203
3.000, 0, Sedan, -26.045, 0.346, 0.000, 0.314, 0.000, 0.000, 17.882, 0.010, 2.474
3.050, 0, Sedan, -25.195, 0.623, 0.000, 0.313, 0.000, 0.000, 17.882, -0.006, 5.029
3.100, 0, Sedan, -24.343, 0.895, 0.000, 0.304, 0.000, 0.000, 17.882, -0.030, 1.300
3.150, 0, Sedan, -23.489, 1.157, 0.000, 0.289, 0.000, 0.000, 17.882, -0.051, 3.855
3.200, 0, Sedan, -22.630, 1.405, 0.000, 0.269, 0.000, 0.000, 17.882, -0.072, 0.126
3.250, 0, Sedan, -21.765, 1.631, 0.000, 0.241, 0.000, 0.000, 17.882, -0.097, 2.681
3.300, 0, Sedan, -20.893, 1.830, 0.000, 0.207, 0.000, 0.000, 17.882, -0.120, 5.235
3.350, 0, Sedan, -20.015, 1.997, 0.000, 0.166, 0.000, 0.000, 17.882, -0.144, 1.506
3.400, 0, Sedan, -19.130, 2.124, 0.000, 0.118, 0.000, 0.000, 17.882, -0.169, 4.061
3.450, 0, Sedan, -18.240, 2.205, 0.000, 0.063, 0.000, 0.000, 17.882, -0.192, 0.332
3.500, 0, Sedan, -17.346, 2.235, 0.000, 0.002, 0.000, 0.000, 17.882, -0.214, 2.887
3.550, 0, Sedan, -16.452, 2.221, 0.000, 6.260, 0.000, 0.000, 17.882, -0.189, 5.441
3.600, 0, Sedan, -15.558, 2.199, 0.000, 6.254, 0.000, 0.000, 17.882, -0.164, 1.713
3.650, 0, Sedan, -14.665, 2.170, 0.000, 6.251, 0.000, 0.000, 17.882, -0.139, 4.267
3.700, 0, Sedan, -13.771, 2.142, 0.000, 6.248, 0.000, 0.000, 17.882, -0.114, 0.538
3.750, 0, Sedan, -12.878, 2.111, 0.000, 6.245, 0.000, 0.000, 17.882, -0.089, 3.093
3.800, 0, Sedan, -11.984, 2.073, 0.000, 6.241, 0.000, 0.000, 17.882, -0.064, 5.648
3.850, 0, Sedan, -11.091, 2.035, 0.000, 6.238, 0.000, 0.000, 17.882, -0.039, 1.919
