Version: 2, OpenDRIVE: ./circle.xodr, 3DModel: ./circle.osgb
time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot
0.325, 2, Sedan3, 99.193, 1.478, 0.000, 3.160, 0.000, 0.000, 17.882, 0.000, 4.038
0.325, 3, Sedan4, -77.575, -4.494, 0.000, 1.805, 0.000, 0.000, 17.882, -0.047, 4.038
0.350, 0, Sedan, -151.782, 13.508, 0.000, 0.013, 0.000, 0.000, 17.882, 0.000, 5.315
0.350, 1, Sedan2, -5.085, -77.651, 0.000, 1.535, 0.000, 0.000, 17.882, 0.000, 5.315
0.350, 2, Sedan3, 98.746, 1.469, 0.000, 3.160, 0.000, 0.000, 17.882, 0.000, 5.315
0.350, 3, Sedan4, -77.677, -4.059, 0.000, 1.798, 0.000, 0.000, 17.882, -0.047, 5.315
0.375, 0, Sedan, -151.335, 13.514, 0.000, 0.013, 0.000, 0.000, 17.882, 0.000, 0.309
0.375, 1, Sedan2, -5.068, -77.204, 0.000, 1.535, 0.000, 0.000, 17.882, 0.000, 0.309
0.375, 2, Sedan3, 98.299, 1.461, 0.000, 3.160, 0.000, 0.000, 17.882, 0.000, 0.309
0.375, 3, Sedan4, -77.777, -3.623, 0.000, 1.792, 0.000, 0.000, 17.882, -0.047, 0.309
0.400, 0, Sedan, -150.888, 13.520, 0.000, 0.013, 0.000, 0.000, 17.882, 0.000, 1.587
0.400, 1, Sedan2, -5.052, -76.758, 0.000, 1.535, 0.000, 0.000, 17.882, 0.000, 1.587
0.400, 2, Sedan3, 97.852, 1.453, 0.000, 3.160, 0.000, 0.000, 17.882, 0.000, 1.587
0.400, 3, Sedan4, -77.873, -3.186, 0.000, 1.785, 0.000, 0.000, 17.882, -0.047, 1.587
0.425, 0, Sedan, -150.441, 13.525, 0.000, 0.013, 0.000, 0.000, 17.882, 0.000, 2.864
0.425, 1, Sedan2, -5.036, -76.311, 0.000, 1.535, 0.000, 0.000, 17.882, 0.000, 2.864
0.425, 2, Sedan3, 97.405, 1.444, 0.000, 3.160, 0.000, 0.000, 17.882, 0.000, 2.864
0.425, 3, Sedan4, -77.967, -2.749, 0.000, 1.778, 0.000, 0.000, 17.882, -0.047, 2.864
0.450, 0, Sedan, -149.994, 13.531, 0.000, 0.013, 0.000, 0.000, 17.882, 0.000, 4.141
0.450, 1, Sedan2, -5.020, -75.864, 0.000, 1.535, 0.000, 0.000, 17.882, 0.000, 4.141
0.450, 2, Sedan3, 96.958, 1.436, 0.000, 3.160, 0.000, 0.000, 17.882, 0.000, 4.141
0.450, 3, Sedan4, -78.057, -2.311, 0.000, 1.771, 0.000, 0.000, 17.882, -0.047, 4.141
0.475, 0, Sedan, -149.547, 13.536, 0.000, 0.013, 0.000, 0.000, 17.882, 0.000, 5.418
0.475, 1, Sedan2, -5.004, -75.417, 0.000, 1.535, 0.000, 0.000, 17.882, 0.000, 5.418
0.475, 2, Sedan3, 96.511, 1.427, 0.000, 3.160, 0.000, 0.000, 17.882, 0.000, 5.418
0.475, 3, Sedan4, -78.145, -1.873, 0.000, 1.764, 0.000, 0.000, 17.882, -0.047, 5.418
0.500, 0, Sedan, -149.100, 13.542, 0.000, 0.013, 0.000, 0.000, 17.882, 0.000, 0.412
0.500, 1, Sedan2, -4.988, -74.971, 0.000, 1.535, 0.000, 0.000, 17.882, 0.000, 0.412
0.500, 2, Sedan3, 96.064, 1.419, 0.000, 3.160, 0.000, 0.000, 17.882, 0.000, 0.412
0.500, 3, Sedan4, -78.229, -1.434, 0.000, 1.758, 0.000, 0.000, 17.882, -0.047, 0.412
0.525, 0, Sedan, -148.653, 13.548, 0.000, 0.013, 0.000, 0.000, 17.882, 0.000, 1.690
0.525, 1, Sedan2, -4.972, -74.524, 0.000, 1.535, 0.000, 0.000, 17.882, 0.000, 1.690
0.525, 2, Sedan3, 95.617, 1.410, 0.000, 3.160, 0.000, 0.000, 17.882, 0.000, 1.690
0.525, 3, Sedan4, -78.311, -0.994, 0.000, 1.751, 0.000, 0.000, 17.882, -0.047, 1.690
0.550, 0, Sedan, -148.206, 13.553, 0.000, 0.013, 0.000, 0.000, 17.882, 0.000, 2.967
0.550, 1, Sedan2, -4.956, -74.077, 0.000, 1.535, 0.000, 0.000, 17.882, 0.000, 2.967
0.550, 2, Sedan3, 95.170, 1.402, 0.000, 3.160, 0.000, 0.000, 17.882, 0.000, 2.967
0.550, 3, Sedan4, -78.390, -0.554, 0.000, 1.744, 0.000, 0.000, 17.882, -0.047, 2.967
0.575, 0, Sedan, -147.759, 13.559, 0.000, 0.013, 0.000, 0.000, 17.882, 0.000, 4.244
0.575, 1, Sedan2, -4.940, -73.630, 0.000, 1.535, 0.000, 0.000, 17.882, 0.000, 4.244
0.575, 2, Sedan3, 94.723, 1.394, 0.000, 3.160, 0.000, 0.000, 17.882, 0.000, 4.244
0.575, 3, Sedan4, -78.465, -0.114, 0.000, 1.737, 0.000, 0.000, 17.882, -0.047, 4.244
0.600, 0, Sedan, -147.312, 13.564, 0.000, 0.013, 0.000, 0.000, 17.882, 0.000, 5.521
0.600, 1, Sedan2, -4.924, -73.184, 0.000, 1.535, 0.000, 0.000, 17.882, 0.000, 5.521
0.600, 2, Sedan3, 94.276, 1.385, 0.000, 3.160, 0.000, 0.000, 17.882, 0.000, 5.521
0.600, 3, Sedan4, -78.538, 0.327, 0.000, 1.731, 0.000, 0.000, 17.882, -0.047, 5.521
0.625, 0, Sedan, -146.865, 13.570, 0.000, 0.013, 0.000, 0.000, 17.882, 0.000, 0.516
0.625, 1, Sedan2, -4.908, -72.737, 0.000, 1.535, 0.000, 0.000, 17.882, 0.000, 0.516
0.625, 2, Sedan3, 93.829, 1.377, 0.000, 3.160, 0.000, 0.000, 17.882, 0.000, 0.516
0.625, 3, Sedan4, -78.608, 0.769, 0.000, 1.724, 0.000, 0.000, 17.882, -0.047, 0.516
