Version: 2, OpenDRIVE: ./ALKS_Road_straight.xodr, 3DModel: 
time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot
0.425, 2, LeadVehicle, 50.417, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.389
0.450, 0, Ego, 12.500, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.579
0.450, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.450, 2, LeadVehicle, 50.833, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.579
0.475, 0, Ego, 12.917, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 3.769
0.475, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.475, 2, LeadVehicle, 51.250, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 3.769
0.500, 0, Ego, 13.333, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.960
0.500, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.500, 2, LeadVehicle, 51.667, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.960
0.525, 0, Ego, 13.750, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 6.150
0.525, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.525, 2, LeadVehicle, 52.083, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 6.150
0.550, 0, Ego, 14.167, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.058
0.550, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.550, 2, LeadVehicle, 52.500, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.058
0.575, 0, Ego, 14.583, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.248
0.575, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.575, 2, LeadVehicle, 52.917, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.248
0.600, 0, Ego, 15.000, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 3.439
0.600, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.600, 2, LeadVehicle, 53.333, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 3.439
0.625, 0, Ego, 15.417, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.629
0.625, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.625, 2, LeadVehicle, 53.750, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.629
0.650, 0, Ego, 15.833, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 5.820
0.650, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.650, 2, LeadVehicle, 54.167, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 5.820
0.675, 0, Ego, 16.250, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.727
0.675, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.675, 2, LeadVehicle, 54.583, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.727
0.700, 0, Ego, 16.667, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.917
0.700, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.700, 2, LeadVehicle, 55.000, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.917
0.725, 0, Ego, 17.083, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 3.108
0.725, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.725, 2, LeadVehicle, 55.417, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 3.108
0.750, 0, Ego, 17.500, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.298
0.750, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.750, 2, LeadVehicle, 55.833, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.298
0.775, 0, Ego, 17.917, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 5.489
0.775, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.775, 2, LeadVehicle, 56.250, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 5.489
0.800, 0, Ego, 18.333, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.396
0.800, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.800, 2, LeadVehicle, 56.667, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.396
